Visit #,Ship,Ship Type,Move Type,Move Status,Move Start,From Location,To Location,Agency,Last Port,Next Port
20230323,SOUTHGATE,BULK CARRIER,Arrival,Planned,9/23/2023,SEA,No. 2 Kwin Bulk Berth,Quay Marine Agencies P/L,Japan - other,WA Ports - other
20230317,Unknown,UNKNOWN,Arrival,Planned,9/23/2023,SEA,No. 2 Kwin Bulk Berth,Quay Marine Agencies P/L,To Be Advised,To Be Advised
20231164,MSC REBECCA,CONTAINER SHIP,Arrival,Planned,9/23/23 3:45,SEA,Container Terminal 3,Gulf Agency Company (Australia) Pty/Ltd,Jakarta,Adelaide
20231165,ALS VESTA,CONTAINER SHIP,Arrival,Planned,9/23/23 11:45,SEA,Container Terminal 1,Inchcape Shipping Services,Melbourne,Port Klang
20231161,BUNUN LEADER,BULK CARRIER,Arrival,Planned,9/23/23 16:00,SEA,No. 3 Kwin Bulk Berth,Indian Ocean Shipping Agencies,Portland (Oregon),Adelaide
20231164,MSC REBECCA,CONTAINER SHIP,Departure,Planned,9/24/23 7:00,Container Terminal 3,SEA,Gulf Agency Company (Australia) Pty/Ltd,Jakarta,Adelaide
20231165,ALS VESTA,CONTAINER SHIP,Departure,Planned,9/25/23 15:00,Container Terminal 1,SEA,Inchcape Shipping Services,Melbourne,Port Klang
20230309,Unknown,UNKNOWN,Arrival,Planned,9/26/2023,SEA,No. 2 Kwin Bulk Berth,Indian Ocean Shipping Agencies,To Be Advised,To Be Advised
20231161,BUNUN LEADER,BULK CARRIER,Departure,Planned,9/27/23 23:59,No. 3 Kwin Bulk Berth,SEA,Indian Ocean Shipping Agencies,Portland (Oregon),Adelaide
20230309,Unknown,UNKNOWN,Departure,Planned,9/28/2023,No. 2 Kwin Bulk Berth,SEA,Indian Ocean Shipping Agencies,To Be Advised,To Be Advised
20230314,Unknown,UNKNOWN,Arrival,Planned,9/28/2023,SEA,No. 2 Kwin Bulk Berth,Indian Ocean Shipping Agencies,To Be Advised,To Be Advised
20231160,ULTRA VANSCOY,BULK CARRIER,Arrival,Planned,9/28/23 3:00,SEA,No. 12 NQ,Sturrock Grindrod Maritime (Australia),Port Adelaide,Vietnam - other
20231183,CANOPUS LEADER,VEHICLES CARRIER,Arrival,Planned,9/28/23 23:01,SEA,H Berth,Monson Agencies Australia.,Brisbane,Laem Chabang
20230314,Unknown,UNKNOWN,Departure,Planned,9/29/2023,No. 2 Kwin Bulk Berth,SEA,Indian Ocean Shipping Agencies,To Be Advised,To Be Advised
20230764,FMG SAWFISH,TUG,Departure,Planned,9/29/23 0:01,BAE North Wet Berth,SEA,Monson Offshore Agency,Port Hedland,Port Hedland
20221377,ISLAND ESCAPE,PASSENGER SHIP,Departure,Planned,9/29/23 0:01,Fishing Boat Harbour,SEA,Monson Offshore Agency,Broome,Fremantle
20220685,DAVID W. PANUELO,PATROL VESSEL,Removal,Planned,9/29/23 13:01,AUSTAL Fit out pier northern side,"Moresby 5,7,8",International Maritime Services,Singapore,Pacific Islands - other
20230324,Unknown,UNKNOWN,Arrival,Planned,9/30/2023,SEA,No. 2 Kwin Bulk Berth,Quay Marine Agencies P/L,To Be Advised,To Be Advised
20231183,CANOPUS LEADER,VEHICLES CARRIER,Departure,Planned,9/30/23 0:01,H Berth,SEA,Monson Agencies Australia.,Brisbane,Laem Chabang
20230321,ILEKTRA,BULK CARRIER,Removal,Planned,9/30/23 12:00,Gage Roads,No. 2 Kwin Bulk Berth,Quay Marine Agencies P/L,Cape Cuvier,WA Ports - other
20230558,IMMORTALIS,TRAINING SHIP,Departure,Planned,9/30/23 14:01,Fishing Boat Harbour,SEA,International Maritime Services,Albany,Singapore
20231188,ONYX ACE,VEHICLES CARRIER,Arrival,Planned,9/30/23 23:00,SEA,H Berth,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Adelaide
20231188,ONYX ACE,VEHICLES CARRIER,Departure,Planned,10/2/2023,H Berth,SEA,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Adelaide
20230317,Unknown,UNKNOWN,Departure,Planned,10/2/2023,No. 2 Kwin Bulk Berth,SEA,Quay Marine Agencies P/L,To Be Advised,To Be Advised
20230788,CAPE PILLAR,PATROL VESSEL,Departure,Planned,10/2/23 14:01,AUSTAL Fit out pier northern side,SEA,International Maritime Services,Fremantle,Fremantle
20231160,ULTRA VANSCOY,BULK CARRIER,Departure,Planned,10/2/23 23:00,No. 12 NQ,SEA,Sturrock Grindrod Maritime (Australia),Port Adelaide,Vietnam - other
20230324,Unknown,UNKNOWN,Departure,Planned,10/4/2023,No. 2 Kwin Bulk Berth,SEA,Quay Marine Agencies P/L,To Be Advised,To Be Advised
20230321,ILEKTRA,BULK CARRIER,Departure,Planned,10/4/23 12:00,No. 2 Kwin Bulk Berth,SEA,Quay Marine Agencies P/L,Cape Cuvier,WA Ports - other
